1517353917155784 	 time 	 search k=	2 	 returning value = 	1035646
1517353917162982 	 time 	 search k=	0 	 receiving value = 	1037874
1517353917163259 	 time 	 search k=	0 	 returning value = 	1037841
1517353917172223 	 time 	 search k=	1 	 receiving value = 	1037874
1517353917172534 	 time 	 search k=	1 	 returning value = 	1035370
1517353917181010 	 time 	 search k=	2 	 receiving value = 	1035646
1517353917182395 	 time 	 search k=	2 	 returning value = 	1028393
1517353917185423 	 time 	 search k=	0 	 receiving value = 	1035646
1517353917185731 	 time 	 search k=	0 	 returning value = 	1035427
1517353917192368 	 time 	 search k=	1 	 receiving value = 	1035370
1517353917192937 	 time 	 search k=	1 	 returning value = 	1033220
1517353917206488 	 time 	 search k=	2 	 receiving value = 	1028393
1517353917206841 	 time 	 search k=	2 	 returning value = 	1021876
1517353917212718 	 time 	 search k=	0 	 receiving value = 	1028393
1517353917213226 	 time 	 search k=	0 	 returning value = 	1028354
1517353917220855 	 time 	 search k=	1 	 receiving value = 	1028393
1517353917221193 	 time 	 search k=	1 	 returning value = 	1025925
1517353917229630 	 time 	 search k=	2 	 receiving value = 	1021876
1517353917229998 	 time 	 search k=	2 	 returning value = 	1018872
1517353917236020 	 time 	 search k=	0 	 receiving value = 	1021876
1517353917237764 	 time 	 search k=	0 	 returning value = 	1021876
1517353917240998 	 time 	 search k=	1 	 receiving value = 	1021876
1517353917241327 	 time 	 search k=	1 	 returning value = 	1020876
1517353917249130 	 time 	 search k=	2 	 receiving value = 	1018872
1517353917249490 	 time 	 search k=	2 	 returning value = 	1018872
1517353917266830 	 time 	 search k=	1 	 receiving value = 	1018872
1517353917267168 	 time 	 search k=	1 	 returning value = 	1018714
1517353917275364 	 time 	 search k=	0 	 receiving value = 	1018714
1517353917275689 	 time 	 search k=	0 	 returning value = 	1018714
1517353917276715 	 time 	 search k=	1 	 receiving value = 	1018714
1517353917277949 	 time 	 search k=	1 	 returning value = 	1018714
1517353917279769 	 time 	 search k=	2 	 receiving value = 	1018714
1517353917280157 	 time 	 search k=	2 	 returning value = 	1018714
