file_name;solver;size;initial_value;final_value;elapsed_time;imp_value;instance_num;num_workers
dvnd_n4w4in46_15.out;dvnd;724;58705213;14413861;9.69507288933;4.07283052057;46;4
dvnd_n4w4in16_81.out;dvnd;130;3015132;357678;3.37551379204;8.42973847986;16;4
dvnd_n4w4in16_69.out;dvnd;130;3015132;352972;4.01493883133;8.54212798749;16;4
dvnd_n4w4in36_22.out;dvnd;400;42523653;2910910;8.25549578667;14.6083709218;36;4
dvnd_n4w4in5_25.out;dvnd;99;92473;57065;2.15336799622;1.62048541137;5;4
dvnd_n4w4in10_40.out;dvnd;100;7680080;1015476;2.92504310608;7.56303447841;10;4
dvnd_n4w4in11_32.out;dvnd;100;9554316;974043;3.12225198746;9.80892629997;11;4
dvnd_n4w4in48_7.out;dvnd;783;28536548;3345964;10.5643441677;8.52864764833;48;4
dvnd_n4w4in6_50.out;dvnd;100;8670796;978321;3.17721605301;8.86293558045;6;4
dvnd_n4w4in5_83.out;dvnd;99;92473;56502;1.20947098732;1.6366323316;5;4
dvnd_n4w4in9_2.out;dvnd;100;9661842;970163;2.73150610924;9.95898833495;9;4
dvnd_n4w4in36_1.out;dvnd;400;42523653;2924411;7.86889314651;14.5409290965;36;4
dvnd_n4w4in20_76.out;dvnd;150;20304704;1787873;3.31983423233;11.3569051046;20;4
dvnd_n4w4in16_79.out;dvnd;130;3015132;361495;2.88675689697;8.34072947067;16;4
dvnd_n4w4in40_9.out;dvnd;493;28640835;6917539;6.23013019562;4.14032143512;40;4
dvnd_n4w4in12_57.out;dvnd;101;111303;27837;2.54941511154;3.99838344649;12;4
dvnd_n4w4in8_47.out;dvnd;100;8993202;958406;2.83955407143;9.38349926858;8;4
dvnd_n4w4in8_91.out;dvnd;100;8993202;962224;3.14324212074;9.34626656579;8;4
dvnd_n4w4in16_97.out;dvnd;130;3015132;351799;3.93545889854;8.57060992214;16;4
dvnd_n4w4in14_62.out;dvnd;107;2783881;2025093;1.53303790092;1.37469291534;14;4
dvnd_n4w4in10_87.out;dvnd;100;7680080;997991;3.11494708061;7.69554034054;10;4
dvnd_n4w4in0_1.out;dvnd;51;31378;10079;1.25577688217;3.11320567517;0;4
dvnd_n4w4in5_15.out;dvnd;99;92473;56591;1.85686707497;1.63405841918;5;4
dvnd_n4w4in14_7.out;dvnd;107;2783881;2019148;1.04725599289;1.37874043904;14;4
dvnd_n4w4in14_78.out;dvnd;107;2783881;1986758;1.81415891647;1.40121796414;14;4
