"initial";"final";"count";"time";"imp";"inum";"n";"w";"type"
13437654;7193052;98;1.35596394539;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.45371985435;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.95121097565;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.28695607185;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.18069195747;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.356402874;23.931378199050787;7;1;1;"dvnd"
558778;154095;75;1.20834589005;3.6261916350303385;0;1;1;"dvnd"
8670796;1030139;161;1.41197013855;8.41711264208034;1;1;1;"dvnd"
13437654;7193052;98;1.35156798363;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.43109297752;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.95915007591;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.29189395905;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.19475698471;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.7387039661;23.931378199050787;7;1;1;"dvnd"
558778;152464;98;1.25318717957;3.664983209151013;0;1;1;"dvnd"
8670796;1030139;161;1.41930413246;8.41711264208034;1;1;1;"dvnd"
13437654;7193052;98;1.32421994209;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.47359991074;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.96448302269;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.27534103394;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.19329214096;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3701040745;23.931378199050787;7;1;1;"dvnd"
558778;152464;98;1.26002001762;3.664983209151013;0;1;1;"dvnd"
8670796;1005671;170;1.42949295044;8.621901198304416;1;1;1;"dvnd"
13437654;7193052;98;1.33896398544;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.49594807625;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.97439312935;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.30141711235;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.20295906067;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3536608219;23.931378199050787;7;1;1;"dvnd"
558778;139340;107;1.28285694122;4.0101765465767185;0;1;1;"dvnd"
8670796;1013471;180;1.45780992508;8.55554426323003;1;1;1;"dvnd"
13437654;7193052;98;1.33652496338;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.44976806641;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.96132612228;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.2971200943;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.18499588966;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3531918526;23.931378199050787;7;1;1;"dvnd"
558778;151137;95;1.25668001175;3.697162177362261;0;1;1;"dvnd"
8670796;999119;197;1.61768817902;8.678441707143994;1;1;1;"dvnd"
13437654;7193052;98;1.36710000038;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.41343903542;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.94768309593;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.31052803993;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.18860888481;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3529689312;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.23076605797;3.939634081855677;0;1;1;"dvnd"
8670796;1030139;161;1.40311598778;8.41711264208034;1;1;1;"dvnd"
13437654;7193052;98;1.32482099533;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.44901013374;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.97707891464;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.3026368618;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.20100879669;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3917450905;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.26852703094;3.939634081855677;0;1;1;"dvnd"
8670796;1030139;161;1.40055298805;8.41711264208034;1;1;1;"dvnd"
13437654;7193052;98;1.35410809517;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.43109107018;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;4.01395916939;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.30689907074;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.17453598976;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.420997858;23.931378199050787;7;1;1;"dvnd"
558778;140526;101;1.24377703667;3.9763317820189856;0;1;1;"dvnd"
8670796;1022136;190;1.49283885956;8.48301595873739;1;1;1;"dvnd"
13437654;7193052;98;1.32884883881;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.44042086601;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.97349405289;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.3425579071;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.21705794334;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3501758575;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.23844504356;3.939634081855677;0;1;1;"dvnd"
8670796;1030139;161;1.39939689636;8.41711264208034;1;1;1;"dvnd"
13437654;7193052;98;1.33476495743;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.46977496147;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.97731089592;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.30063319206;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.32601308823;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3870751858;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.28860497475;3.939634081855677;0;1;1;"dvnd"
8670796;999119;199;1.51027011871;8.678441707143994;1;1;1;"dvnd"
13437654;7193052;98;1.33570408821;1.8681435918995164;2;1;1;"dvnd"
